idx	section	verdict	operation	subsection	missing
1	01	WEAK GATE	`TOOL_CAPABILITY_MAP` — scripting family	1.1 `src/intellicrack/bridges/base.py`	No direct `TOOL_CAPABILITY_MAP.get(op) == "scripting"` assertion; only tested through registry integration
2	01	WEAK GATE	`TOOL_CAPABILITY_MAP` — decompilation family	1.1 `src/intellicrack/bridges/base.py`	Same — no direct map-value assertion for decompilation ops
3	01	NO COVERAGE	`BinaryOperationsBridge.__init__` capability values	1.1 `src/intellicrack/bridges/base.py`	Test only checks that it cannot be instantiated directly; the specific capability flag values (formats, arches) are never asserted
4	01	NO COVERAGE	`resolve()` — unknown name logs warning	1.2 `src/intellicrack/bridges/lazy.py`	`_logger.warning("lazy_resolve_unknown_attribute", ...)` never verified
5	01	NO COVERAGE	`resolve()` — non-bridge/non-installer raises `TypeError`	1.2 `src/intellicrack/bridges/lazy.py`	The branch `if not (is_bridge or is_installer): raise TypeError` is never exercised; no test loads a LAZY_EXPORTS entry pointing to a non-class attribute
6	01	NO COVERAGE	`build_schema_property` — array + object items recursive branch	1.3 `src/intellicrack/bridges/schemas.py`	`_build_array_items` when `element_type == "object"` and `param.item_properties` is set never exercised in test_schemas.py or test_bridges_core_audit1.py; only reached in test_providers/test_e2e_chat.py:155-172 (providers scope)
7	01	NO COVERAGE	`validate_tool_parameter` — array + unrecognized items_type warning	1.3 `src/intellicrack/bridges/schemas.py`	The `ValidationError("Array parameter has unrecognized items_type …")` branch is never reached by any test
8	01	NO COVERAGE	`validate_tool_parameter` — array of objects with no item_properties	1.3 `src/intellicrack/bridges/schemas.py`	The `ValidationError("Array of objects requires item_properties …")` error branch is never reached
9	01	WEAK GATE	`get_schema_for_provider` — OLLAMA	1.3 `src/intellicrack/bridges/schemas.py`	Only length checked; format not verified. A mutation routing OLLAMA to `to_google_schema` would still pass.
10	01	WEAK GATE	`get_schema_for_provider` — OPENROUTER	1.3 `src/intellicrack/bridges/schemas.py`	Same — format not verified independently
11	01	WEAK GATE	`get_schema_for_provider` — HUGGINGFACE	1.3 `src/intellicrack/bridges/schemas.py`	Same
12	01	WEAK GATE	`get_schema_for_provider` — GROK	1.3 `src/intellicrack/bridges/schemas.py`	Same
13	01	WEAK GATE	`get_schema_for_provider` — LOCAL_TRANSFORMERS	1.3 `src/intellicrack/bridges/schemas.py`	Same
14	01	NO COVERAGE	`_assert_never`	1.3 `src/intellicrack/bridges/schemas.py`	Deliberately unreachable via exhaustive if-chain in `get_schema_for_provider`; no test can reach it via production paths
15	01	NO COVERAGE	`connect()` — already connected no-op	1.5 `src/intellicrack/bridges/named_pipe_client.py`	The `if self._handle is not None: return` branch is never explicitly tested
16	01	NO COVERAGE	`send_command()` — `_read_failure` guard	1.5 `src/intellicrack/bridges/named_pipe_client.py`	The guard `if self._read_failure is not None: raise` is never isolated; broken-pipe tests exercise post-failure behavior but not the pre-send guard path specifically
