tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
clippy,src\bps_ups.rs,213,9,warning,,,"adding items after statements is confusing, since items exist from the start of the scope",,,,,,,,,,,,
clippy,src\bps_ups.rs,223,25,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,223,50,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,228,25,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,231,25,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,231,38,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,236,25,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,239,25,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,239,38,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,265,31,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,267,47,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,272,31,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,274,47,warning,,,casting `usize` to `i64` may wrap around the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\bps_ups.rs,368,1,warning,,,this function has too many lines (155/100),,,,,,,,,,,,
clippy,src\bps_ups.rs,738,16,warning,,,casting `u64` to `usize` may truncate the value on targets with 32-bit wide pointers,,,,,,,,,,,,
clippy,src\patch_export.rs,608,13,warning,,,casting `usize` to `u8` may truncate the value,,,,,,,,,,,,
clippy,src\patch_export.rs,609,13,warning,,,casting `usize` to `u8` may truncate the value,,,,,,,,,,,,
clippy,src\patch_export.rs,610,13,warning,,,casting `usize` to `u8` may truncate the value,,,,,,,,,,,,
clippy,src\patch_export.rs,626,13,warning,,,casting `usize` to `u8` may truncate the value,,,,,,,,,,,,
clippy,src\patch_export.rs,627,13,warning,,,casting `usize` to `u8` may truncate the value,,,,,,,,,,,,
clippy,src\patch_export.rs,628,13,warning,,,casting `usize` to `u8` may truncate the value,,,,,,,,,,,,
clippy,src\patch_export.rs,629,13,warning,,,casting `usize` to `u8` may truncate the value,,,,,,,,,,,,
clippy,src\diff.rs,214,22,warning,,,casting `usize` to `u32` may truncate the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\diff.rs,214,22,warning,,,casting `usize` to `u32` may truncate the value on targets with 64-bit wide pointers,,,,,,,,,,,,
clippy,src\diff.rs,648,21,warning,,,casting `usize` to `u8` may truncate the value,,,,,,,,,,,,
clippy,src\lib.rs,535,5,warning,,,this function's return value is unnecessarily wrapped by `Result`,,,,,,,,,,,,
