tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
complexipy,src\intellicrack\bridges\installer.py,,,,,,ToolInstaller::_download_file - cognitive complexity 16 (exceeds threshold),,16,,ToolInstaller::_download_file,,,,,,,,
complexipy,src\intellicrack\bridges\installer.py,,,,,,ToolInstaller::_get_latest_release_url - cognitive complexity 23 (exceeds threshold),,23,,ToolInstaller::_get_latest_release_url,,,,,,,,
complexipy,src\intellicrack\bridges\installer.py,,,,,,ToolInstaller::find_tool - cognitive complexity 34 (exceeds threshold),,34,,ToolInstaller::find_tool,,,,,,,,
complexipy,src\intellicrack\bridges\process.py,,,,,,ProcessBridge::list_processes - cognitive complexity 16 (exceeds threshold),,16,,ProcessBridge::list_processes,,,,,,,,
complexipy,src\intellicrack\bridges\process.py,,,,,,ProcessBridge::get_threads - cognitive complexity 17 (exceeds threshold),,17,,ProcessBridge::get_threads,,,,,,,,
complexipy,src\intellicrack\bridges\process.py,,,,,,ProcessBridge::search_pattern - cognitive complexity 21 (exceeds threshold),,21,,ProcessBridge::search_pattern,,,,,,,,
complexipy,src\intellicrack\bridges\x64dbg.py,,,,,,X64DbgBridge::_get_parent_pid - cognitive complexity 16 (exceeds threshold),,16,,X64DbgBridge::_get_parent_pid,,,,,,,,
complexipy,src\intellicrack\bridges\x64dbg.py,,,,,,X64DbgBridge::get_stack_trace - cognitive complexity 16 (exceeds threshold),,16,,X64DbgBridge::get_stack_trace,,,,,,,,
complexipy,src\intellicrack\bridges\x64dbg.py,,,,,,X64DbgBridge::_get_threads - cognitive complexity 17 (exceeds threshold),,17,,X64DbgBridge::_get_threads,,,,,,,,
complexipy,src\intellicrack\core\license_analyzer.py,,,,,,LicenseAnalyzer::_detect_crypto_apis - cognitive complexity 16 (exceeds threshold),,16,,LicenseAnalyzer::_detect_crypto_apis,,,,,,,,
complexipy,src\intellicrack\core\license_analyzer.py,,,,,,LicenseAnalyzer::_detect_key_format - cognitive complexity 21 (exceeds threshold),,21,,LicenseAnalyzer::_detect_key_format,,,,,,,,
complexipy,src\intellicrack\core\license_analyzer.py,,,,,,LicenseAnalyzer::_detect_algorithms - cognitive complexity 29 (exceeds threshold),,29,,LicenseAnalyzer::_detect_algorithms,,,,,,,,
complexipy,src\intellicrack\providers\discovery.py,,,,,,DiscoveryCache::load_from_disk - cognitive complexity 16 (exceeds threshold),,16,,DiscoveryCache::load_from_disk,,,,,,,,
complexipy,src\intellicrack\providers\discovery.py,,,,,,ModelDiscovery::discover_all - cognitive complexity 17 (exceeds threshold),,17,,ModelDiscovery::discover_all,,,,,,,,
complexipy,src\intellicrack\providers\discovery.py,,,,,,ModelDiscovery::filter - cognitive complexity 32 (exceeds threshold),,32,,ModelDiscovery::filter,,,,,,,,
complexipy,src\intellicrack\providers\huggingface.py,,,,,,HuggingFaceProvider::_convert_messages_to_provider_format - cognitive complexity 17 (exceeds threshold),,17,,HuggingFaceProvider::_convert_messages_to_provider_format,,,,,,,,
complexipy,src\intellicrack\providers\huggingface.py,,,,,,HuggingFaceProvider::list_models - cognitive complexity 17 (exceeds threshold),,17,,HuggingFaceProvider::list_models,,,,,,,,
complexipy,src\intellicrack\providers\huggingface.py,,,,,,HuggingFaceProvider::chat_stream - cognitive complexity 38 (exceeds threshold),,38,,HuggingFaceProvider::chat_stream,,,,,,,,
complexipy,src\intellicrack\providers\ollama.py,,,,,,OllamaProvider::_convert_messages_to_provider_format - cognitive complexity 17 (exceeds threshold),,17,,OllamaProvider::_convert_messages_to_provider_format,,,,,,,,
complexipy,src\intellicrack\providers\ollama.py,,,,,,OllamaProvider::pull_model - cognitive complexity 18 (exceeds threshold),,18,,OllamaProvider::pull_model,,,,,,,,
complexipy,src\intellicrack\providers\ollama.py,,,,,,OllamaProvider::chat_stream - cognitive complexity 24 (exceeds threshold),,24,,OllamaProvider::chat_stream,,,,,,,,
complexipy,src\intellicrack\sandbox\qemu.py,,,,,,QEMUSandbox::_build_qemu_command - cognitive complexity 16 (exceeds threshold),,16,,QEMUSandbox::_build_qemu_command,,,,,,,,
complexipy,src\intellicrack\sandbox\qemu.py,,,,,,QEMUSandbox::_detect_accelerator - cognitive complexity 16 (exceeds threshold),,16,,QEMUSandbox::_detect_accelerator,,,,,,,,
complexipy,src\intellicrack\sandbox\qemu.py,,,,,,GuestAgentClient::send_command - cognitive complexity 20 (exceeds threshold),,20,,GuestAgentClient::send_command,,,,,,,,
complexipy,src\intellicrack\bridges\binary.py,,,,,,BinaryBridge::_detect_architecture - cognitive complexity 18 (exceeds threshold),,18,,BinaryBridge::_detect_architecture,,,,,,,,
complexipy,src\intellicrack\bridges\binary.py,,,,,,BinaryBridge::_get_imports_internal - cognitive complexity 18 (exceeds threshold),,18,,BinaryBridge::_get_imports_internal,,,,,,,,
complexipy,src\intellicrack\providers\google.py,,,,,,GoogleProvider::chat_stream - cognitive complexity 17 (exceeds threshold),,17,,GoogleProvider::chat_stream,,,,,,,,
complexipy,src\intellicrack\providers\google.py,,,,,,GoogleProvider::_parse_response - cognitive complexity 18 (exceeds threshold),,18,,GoogleProvider::_parse_response,,,,,,,,
complexipy,src\intellicrack\providers\grok.py,,,,,,GrokProvider::_convert_messages_to_provider_format - cognitive complexity 17 (exceeds threshold),,17,,GrokProvider::_convert_messages_to_provider_format,,,,,,,,
complexipy,src\intellicrack\providers\grok.py,,,,,,GrokProvider::chat_stream - cognitive complexity 20 (exceeds threshold),,20,,GrokProvider::chat_stream,,,,,,,,
complexipy,src\intellicrack\providers\local_transformers.py,,,,,,LocalTransformersProvider::_stream_generate - cognitive complexity 17 (exceeds threshold),,17,,LocalTransformersProvider::_stream_generate,,,,,,,,
complexipy,src\intellicrack\providers\local_transformers.py,,,,,,LocalTransformersProvider::_parse_tool_calls - cognitive complexity 23 (exceeds threshold),,23,,LocalTransformersProvider::_parse_tool_calls,,,,,,,,
complexipy,src\intellicrack\providers\openai.py,,,,,,OpenAIProvider::_convert_messages_to_provider_format - cognitive complexity 17 (exceeds threshold),,17,,OpenAIProvider::_convert_messages_to_provider_format,,,,,,,,
complexipy,src\intellicrack\providers\openai.py,,,,,,OpenAIProvider::chat_stream - cognitive complexity 20 (exceeds threshold),,20,,OpenAIProvider::chat_stream,,,,,,,,
complexipy,src\intellicrack\providers\openrouter.py,,,,,,OpenRouterProvider::_convert_messages_to_provider_format - cognitive complexity 17 (exceeds threshold),,17,,OpenRouterProvider::_convert_messages_to_provider_format,,,,,,,,
complexipy,src\intellicrack\providers\openrouter.py,,,,,,OpenRouterProvider::chat_stream - cognitive complexity 38 (exceeds threshold),,38,,OpenRouterProvider::chat_stream,,,,,,,,
complexipy,src\intellicrack\providers\xpu_utils.py,,,,,,get_xpu_memory_info - cognitive complexity 17 (exceeds threshold),,17,,get_xpu_memory_info,,,,,,,,
complexipy,src\intellicrack\providers\xpu_utils.py,,,,,,get_xpu_device_info - cognitive complexity 47 (exceeds threshold),,47,,get_xpu_device_info,,,,,,,,
complexipy,src\intellicrack\ui\panels\binary_panel.py,,,,,,BinaryPanel::_extract_strings - cognitive complexity 16 (exceeds threshold),,16,,BinaryPanel::_extract_strings,,,,,,,,
complexipy,src\intellicrack\ui\panels\binary_panel.py,,,,,,BinaryPanel::_parse_sections - cognitive complexity 24 (exceeds threshold),,24,,BinaryPanel::_parse_sections,,,,,,,,
complexipy,src\intellicrack\ui\session_manager.py,,,,,,SessionManagerDialog::_load_sessions_from_disk - cognitive complexity 19 (exceeds threshold),,19,,SessionManagerDialog::_load_sessions_from_disk,,,,,,,,
complexipy,src\intellicrack\ui\session_manager.py,,,,,,SessionManagerDialog::_load_sessions - cognitive complexity 24 (exceeds threshold),,24,,SessionManagerDialog::_load_sessions,,,,,,,,
complexipy,src\intellicrack\bridges\frida_bridge.py,,,,,,FridaBridge::hook_function - cognitive complexity 29 (exceeds threshold),,29,,FridaBridge::hook_function,,,,,,,,
complexipy,src\intellicrack\core\logging.py,,,,,,_sanitize_arguments - cognitive complexity 21 (exceeds threshold),,21,,_sanitize_arguments,,,,,,,,
complexipy,src\intellicrack\core\orchestrator.py,,,,,,Orchestrator::_run_agent_loop - cognitive complexity 16 (exceeds threshold),,16,,Orchestrator::_run_agent_loop,,,,,,,,
complexipy,src\intellicrack\providers\model_loader.py,,,,,,load_model_for_xpu - cognitive complexity 17 (exceeds threshold),,17,,load_model_for_xpu,,,,,,,,
complexipy,src\intellicrack\sandbox\manager.py,,,,,,SandboxManager::create - cognitive complexity 16 (exceeds threshold),,16,,SandboxManager::create,,,,,,,,
complexipy,src\intellicrack\ui\highlighter.py,,,,,,PythonSyntaxHighlighter::_highlight_triple_quotes - cognitive complexity 18 (exceeds threshold),,18,,PythonSyntaxHighlighter::_highlight_triple_quotes,,,,,,,,
complexipy,src\intellicrack\ui\provider_config.py,,,,,,CredentialSourceDetector::_load_env_file_vars - cognitive complexity 30 (exceeds threshold),,30,,CredentialSourceDetector::_load_env_file_vars,,,,,,,,
complexipy,src\intellicrack\ui\sandbox_config.py,,,,,,SandboxTestWorker::run - cognitive complexity 20 (exceeds threshold),,20,,SandboxTestWorker::run,,,,,,,,
complexipy,src\intellicrack\ui\tool_config.py,,,,,,ToolInstallWorker::_install_tool - cognitive complexity 22 (exceeds threshold),,22,,ToolInstallWorker::_install_tool,,,,,,,,
complexipy,src\intellicrack\ui\tools.py,,,,,,ToolOutputPanel::_on_tab_close_requested - cognitive complexity 39 (exceeds threshold),,39,,ToolOutputPanel::_on_tab_close_requested,,,,,,,,
