tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
flake8,src/intellicrack/main.py,223,39,,F821,F821,undefined name 'ProcessManager',,,,,,,,,,,,
flake8,src/intellicrack/main.py,230,17,,F821,F821,undefined name 'ProcessManager',,,,,,,,,,,,
flake8,src/intellicrack/main.py,243,37,,F821,F821,undefined name 'SplashScreen',,,,,,,,,,,,
flake8,src/intellicrack/main.py,250,17,,F821,F821,undefined name 'SplashScreen',,,,,,,,,,,,
flake8,src/intellicrack/main.py,253,49,,F821,F821,undefined name 'ThemeManager',,,,,,,,,,,,
flake8,src/intellicrack/main.py,253,69,,F821,F821,undefined name 'IconManager',,,,,,,,,,,,
flake8,src/intellicrack/main.py,261,9,,F821,F821,undefined name 'ThemeManager',,,,,,,,,,,,
flake8,src/intellicrack/main.py,261,9,,F821,F821,undefined name 'IconManager',,,,,,,,,,,,
flake8,src/intellicrack/main.py,266,36,,F821,F821,undefined name 'Orchestrator',,,,,,,,,,,,
flake8,src/intellicrack/main.py,273,17,,F821,F821,undefined name 'Orchestrator',,,,,,,,,,,,
flake8,src/intellicrack/main.py,276,45,,F821,F821,undefined name 'SessionManager',,,,,,,,,,,,
flake8,src/intellicrack/main.py,276,67,,F821,F821,undefined name 'SessionStore',,,,,,,,,,,,
flake8,src/intellicrack/main.py,284,14,,F821,F821,undefined name 'SessionManager',,,,,,,,,,,,
flake8,src/intellicrack/main.py,285,14,,F821,F821,undefined name 'SessionStore',,,,,,,,,,,,
flake8,src/intellicrack/main.py,289,37,,F821,F821,undefined name 'ToolRegistry',,,,,,,,,,,,
flake8,src/intellicrack/main.py,296,17,,F821,F821,undefined name 'ToolRegistry',,,,,,,,,,,,
flake8,src/intellicrack/main.py,299,41,,F821,F821,undefined name 'CredentialLoader',,,,,,,,,,,,
flake8,src/intellicrack/main.py,306,17,,F821,F821,undefined name 'CredentialLoader',,,,,,,,,,,,
flake8,src/intellicrack/main.py,309,33,,F821,F821,undefined name 'ProviderRegistry',,,,,,,,,,,,
