tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
interrogate,ui\app.py,748,,,INT001,INT001,Missing docstring for 'MainWindow._setup_toolbar._auto_approve_slot',,,,,,,,,,,,
interrogate,ui\app.py,758,,,INT001,INT001,Missing docstring for 'MainWindow._setup_toolbar._sandbox_slot',,,,,,,,,,,,
interrogate,ui\app.py,799,,,INT001,INT001,Missing docstring for 'MainWindow._refresh_system_status.fetch_status',,,,,,,,,,,,
interrogate,ui\app.py,955,,,INT001,INT001,Missing docstring for 'MainWindow._request_tool_confirmation.show_dialog',,,,,,,,,,,,
interrogate,ui\app.py,982,,,INT001,INT001,Missing docstring for 'MainWindow._on_user_message.process',,,,,,,,,,,,
interrogate,ui\app.py,1122,,,INT001,INT001,Missing docstring for 'MainWindow._load_binary.load',,,,,,,,,,,,
interrogate,ui\app.py,1159,,,INT001,INT001,Missing docstring for 'MainWindow._on_new_session.create_session',,,,,,,,,,,,
interrogate,ui\app.py,1174,,,INT001,INT001,Missing docstring for 'MainWindow._on_load_session.load_session',,,,,,,,,,,,
interrogate,ui\app.py,1185,,,INT001,INT001,Missing docstring for 'MainWindow._on_save_session.save_session',,,,,,,,,,,,
interrogate,ui\app.py,1373,,,INT001,INT001,Missing docstring for 'MainWindow._apply_tool_settings._reinit_tools',,,,,,,,,,,,
interrogate,ui\app.py,1457,,,INT001,INT001,Missing docstring for 'MainWindow._apply_provider_settings._reconnect_providers',,,,,,,,,,,,
interrogate,ui\app.py,1546,,,INT001,INT001,Missing docstring for 'MainWindow._on_refresh_models._refresh_slot',,,,,,,,,,,,
interrogate,ui\app.py,1577,,,INT001,INT001,Missing docstring for 'MainWindow._on_browse_models.fetch',,,,,,,,,,,,
interrogate,ui\app.py,1682,,,INT001,INT001,Missing docstring for 'MainWindow._on_open_sandbox.open_sandbox',,,,,,,,,,,,
interrogate,ui\app.py,1688,,,INT001,INT001,Missing docstring for 'MainWindow._on_open_sandbox.on_sandbox_opened',,,,,,,,,,,,
interrogate,ui\app.py,1706,,,INT001,INT001,Missing docstring for 'MainWindow._on_open_sandbox.on_sandbox_error',,,,,,,,,,,,
interrogate,ui\app.py,1977,,,INT001,INT001,Missing docstring for 'MainWindow._on_process_attached._on_done',,,,,,,,,,,,
interrogate,ui\app.py,2109,,,INT001,INT001,Missing docstring for 'MainWindow._on_cancel.cancel',,,,,,,,,,,,
interrogate,core\hexpat\evaluator.py,1916,,,INT001,INT001,Missing docstring for 'HexPatEvaluator._build_builtins.builtin_sizeof',,,,,,,,,,,,
interrogate,core\hexpat\evaluator.py,1919,,,INT001,INT001,Missing docstring for 'HexPatEvaluator._build_builtins.builtin_addressof',,,,,,,,,,,,
interrogate,core\hexpat\evaluator.py,1922,,,INT001,INT001,Missing docstring for 'HexPatEvaluator._build_builtins.builtin_typenameof',,,,,,,,,,,,
interrogate,core\hexpat\evaluator.py,1928,,,INT001,INT001,Missing docstring for 'HexPatEvaluator._build_builtins.builtin_assert',,,,,,,,,,,,
interrogate,core\hexpat\evaluator.py,1936,,,INT001,INT001,Missing docstring for 'HexPatEvaluator._build_builtins.builtin_print',,,,,,,,,,,,
interrogate,core\hexpat\evaluator.py,1939,,,INT001,INT001,Missing docstring for 'HexPatEvaluator._build_builtins.builtin_format',,,,,,,,,,,,
interrogate,core\hexpat\evaluator.py,1954,,,INT001,INT001,Missing docstring for 'HexPatEvaluator._build_builtins.builtin_read_unsigned',,,,,,,,,,,,
