tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
pydocstyle,tests/test_sandbox\conftest.py,76,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_sandbox\conftest.py,113,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_sandbox\conftest.py,140,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_sandbox\conftest.py,425,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_sandbox\conftest.py,440,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_sandbox\conftest.py,475,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_ui\conftest.py,38,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_ui\conftest.py,82,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_ui\conftest.py,106,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,tests/test_ui\conftest.py,128,,,D107,D107,in public method `__init__`: - Missing docstring in __init__,,,,,,,,,,,,
pydocstyle,src/intellicrack/ui\panels\async_bridge.py,140,,,D103,D103,in public function `run_bridge_coroutine`: - Missing docstring in public function,,,,,,,,,,,,
