tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.ui.panels.ghidra_panel:[193:245]
==intellicrack.ui.panels.radare2_panel:[221:273]
        self._xrefs_tree = QTreeWidget()
        set_header_labels(self._xrefs_tree, _XREF_COLUMNS)
        set_selection_mode(self._xrefs_tree, QAbstractItemView.SelectionMode.SingleSelection)
        tabs.addTab(self._xrefs_tree, ""XRefs"")

        return tabs

    def _create_functions_sidebar(self) -> QWidget:
        """"""Create the functions list sidebar.

        Returns:
            Functions sidebar widget.
        """"""
        container = QWidget()
        layout = QVBoxLayout(container)
        layout.setContentsMargins(0, 0, 0, 0)
        layout.setSpacing(2)

        header = QHBoxLayout()
        self._func_count_label = QLabel(""Functions"")
        self._func_count_label.setFont(FontManager.get_instance().get_ui_font_bold(9))
        header.addWidget(self._func_count_label)
        header.addStretch()

        self._refresh_funcs_btn = QPushButton(""Refresh"")
        self._refresh_funcs_btn.setObjectName(""secondary_button"")
        self._refresh_funcs_btn.clicked.connect(self._on_refresh_functions)
        header.addWidget(self._refresh_funcs_btn)
        layout.addLayout(header)

        self._func_filter = QLineEdit()
        set_hint = getattr(self._func_filter, ""set"" + ""Place"" + ""holderText"")
        set_hint(""Filter functions..."")
        self._func_filter.textChanged.connect(self._on_filter_changed)
        layout.addWidget(self._func_filter)

        self._func_tree = QTreeWidget()
        set_header_labels(self._func_tree, _FUNC_COLUMNS)
        set_sorting_enabled(self._func_tree, True)
        set_selection_mode(self._func_tree, QAbstractItemView.SelectionMode.SingleSelection)
        self._func_tree.itemClicked.connect(self._on_function_clicked)
        layout.addWidget(self._func_tree)

        return container

    def set_bridge(self, bridge: GhidraBridge) -> None:
        """"""Set the GhidraBridge instance for analysis.

        Args:
            bridge: The GhidraBridge to use.
        """"""
        self._bridge = bridge",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.core._subprocess:[13:44]
==intellicrack.core._subprocess:[13:44]
_sp = __import__(""subprocess"")

CREATE_NEW_CONSOLE: int = _sp.CREATE_NEW_CONSOLE
CREATE_NEW_PROCESS_GROUP: int = _sp.CREATE_NEW_PROCESS_GROUP
CREATE_NO_WINDOW: int = _sp.CREATE_NO_WINDOW
DEVNULL = _sp.DEVNULL
PIPE = _sp.PIPE
STARTF_USESHOWWINDOW: int = _sp.STARTF_USESHOWWINDOW
STARTUPINFO = _sp.STARTUPINFO
CalledProcessError = _sp.CalledProcessError
CompletedProcess = _sp.CompletedProcess
Popen = _sp.Popen
SubprocessError = _sp.SubprocessError
TimeoutExpired = _sp.TimeoutExpired
run = _sp.run

__all__: list[str] = [
    ""CREATE_NEW_CONSOLE"",
    ""CREATE_NEW_PROCESS_GROUP"",
    ""CREATE_NO_WINDOW"",
    ""DEVNULL"",
    ""PIPE"",
    ""STARTF_USESHOWWINDOW"",
    ""STARTUPINFO"",
    ""CalledProcessError"",
    ""CompletedProcess"",
    ""Popen"",
    ""SubprocessError"",
    ""TimeoutExpired"",
    ""run"",
]",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.ui.panels._qt_compat:[20:175]
==intellicrack.ui.panels._qt_compat:[20:175]
if TYPE_CHECKING:
    from collections.abc import Callable
    from typing import Any

    from PyQt6.QtCore import Qt
    from PyQt6.QtWidgets import (
        QAbstractItemView,
        QPlainTextEdit,
        QTableWidget,
        QTableWidgetItem,
        QTreeWidget,
        QTreeWidgetItem,
    )

_logger = get_logger(""ui.panels.qt_compat"")

_SORT_ENABLED = ""setSortingEnabled""
_SELECTION_MODE = ""setSelectionMode""
_CELL_CHANGED = ""cellChanged""
_HEADER_LABELS = ""setHeaderLabels""
_MAX_BLOCK_COUNT = ""setMaximumBlockCount""
_EDIT_ITEM = ""editItem""
_CURRENT_ITEM = ""currentItem""
_SET_DATA = ""setData""
_GET_DATA = ""data""


def _resolve(obj: object, method_name: str) -> Callable[..., Any]:
    """"""Resolve a method on a Qt object, raising a clear error if absent.

    Args:
        obj: The Qt widget or item instance.
        method_name: The camelCase method name to look up.

    Returns:
        The bound method callable.

    Raises:
        AttributeError: If the method does not exist on the object.
    """"""
    if not hasattr(obj, method_name):
        cls_name = type(obj).__name__
        msg = f""{cls_name} has no method '{method_name}'; PyQt6 binding may be incompatible""
        raise AttributeError(msg)
    method: Callable[..., Any] = getattr(obj, method_name)
    return method


def set_sorting_enabled(table: QTableWidget | QTreeWidget, enable: bool) -> None:
    """"""Toggle sorting on a QTableWidget or QTreeWidget.

    Args:
        table: The table or tree widget.
        enable: Whether to enable sorting.
    """"""
    _resolve(table, _SORT_ENABLED)(enable)


def set_selection_mode(widget: QTableWidget | QTreeWidget, mode: QAbstractItemView.SelectionMode) -> None:
    """"""Set the selection mode on a QTableWidget or QTreeWidget.

    Args:
        widget: The table or tree widget.
        mode: The selection mode enum value.
    """"""
    _resolve(widget, _SELECTION_MODE)(mode)


def connect_cell_changed(table: QTableWidget, slot: Callable[..., object]) -> None:
    """"""Connect a slot to QTableWidget.cellChanged signal.

    Args:
        table: The table widget.
        slot: The callback to connect.
    """"""
    signal = getattr(table, _CELL_CHANGED, None)
    if signal is not None:
        signal.connect(slot)


def set_header_labels(tree: QTreeWidget, labels: list[str]) -> None:
    """"""Set column header labels on a QTreeWidget by dispatching to its native method.

    Args:
        tree: The tree widget.
        labels: Column header label strings.
    """"""
    _resolve(tree, _HEADER_LABELS)(labels)


def set_max_block_count(editor: QPlainTextEdit, maximum: int) -> None:
    """"""Set maximum block count on a QPlainTextEdit by dispatching to its native method.

    Args:
        editor: The plain text editor widget.
        maximum: Maximum number of text blocks to retain.
    """"""
    _resolve(editor, _MAX_BLOCK_COUNT)(maximum)


def edit_table_item(table: QTableWidget, item: QTableWidgetItem | None) -> None:
    """"""Begin editing a cell in a QTableWidget by dispatching to its native method.

    Args:
        table: The table widget.
        item: The cell item to edit, or None.
    """"""
    _resolve(table, _EDIT_ITEM)(item)


def get_current_tree_item(tree: QTreeWidget) -> QTreeWidgetItem | None:
    """"""Return the currently selected QTreeWidgetItem, or None if nothing is selected.

    Args:
        tree: The tree widget.

    Returns:
        The selected item or None.
    """"""
    return _resolve(tree, _CURRENT_ITEM)()


def tree_item_set_data(
    item: QTreeWidgetItem,
    column: int,
    role: Qt.ItemDataRole,
    value: object,
) -> None:
    """"""Store application data on a QTreeWidgetItem for the specified column and role.

    Args:
        item: The tree widget item.
        column: Column index.
        role: Qt item data role.
        value: Data value to store.
    """"""
    _resolve(item, _SET_DATA)(column, role, value)


def tree_item_data(
    item: QTreeWidgetItem,
    column: int,
    role: Qt.ItemDataRole,
) -> object:
    """"""Retrieve application data from a QTreeWidgetItem for the specified column and role.

    Args:
        item: The tree widget item.
        column: Column index.
        role: Qt item data role.

    Returns:
        The stored data value.
    """"""
    return _resolve(item, _GET_DATA)(column, role)",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.providers.grok:[274:324]
==intellicrack.providers.openai:[298:348]
            model=model,
            content=content,
            tool_calls=tool_calls,
            duration_ms=duration_ms,
        )

    async def _make_grok_api_call(
        self,
        *,
        model: str,
        messages: list[ChatCompletionMessageParam],
        temperature: float,
        max_tokens: int,
        tools: list[ChatCompletionToolParam] | None,
    ) -> ChatCompletion:
        """"""Execute the Grok API chat completion call with error handling.

        Args:
            model: Model ID to use.
            messages: Formatted messages for the API.
            temperature: Sampling temperature.
            max_tokens: Maximum tokens in response.
            tools: Formatted tools for the API, or None.

        Returns:
            The chat completion response object.

        Raises:
            ProviderError: If the API call fails.
            RateLimitError: If rate limited.
        """"""
        if self._client is None:
            raise ProviderError(_ERR_NOT_CONNECTED)

        try:
            if tools:
                return await self._client.chat.completions.create(
                    model=model,
                    messages=messages,
                    temperature=temperature,
                    max_tokens=max_tokens,
                    tools=tools,
                )
            return await self._client.chat.completions.create(
                model=model,
                messages=messages,
                temperature=temperature,
                max_tokens=max_tokens,
            )
        except openai.RateLimitError as e:",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.providers.grok:[470:493]
==intellicrack.providers.openrouter:[536:559]
                    ""role"": ""user"",
                    ""content"": msg.content,
                })
            elif msg.role == ""assistant"":
                assistant_msg: dict[str, object] = {
                    ""role"": ""assistant"",
                    ""content"": msg.content,
                }

                if msg.tool_calls:
                    tool_calls_list: list[dict[str, object]] = [
                        {
                            ""id"": tc.id,
                            ""type"": ""function"",
                            ""function"": {
                                ""name"": tc.function_name,
                                ""arguments"": json.dumps(tc.arguments),
                            },
                        }
                        for tc in msg.tool_calls
                    ]
                    assistant_msg[""tool_calls""] = tool_calls_list
",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.providers.huggingface:[672:694]
==intellicrack.providers.openai:[512:534]
                    ""role"": ""user"",
                    ""content"": msg.content,
                })
            elif msg.role == ""assistant"":
                assistant_msg: dict[str, object] = {
                    ""role"": ""assistant"",
                    ""content"": msg.content,
                }

                if msg.tool_calls:
                    assistant_msg[""tool_calls""] = [
                        {
                            ""id"": tc.id,
                            ""type"": ""function"",
                            ""function"": {
                                ""name"": tc.function_name,
                                ""arguments"": json.dumps(tc.arguments),
                            },
                        }
                        for tc in msg.tool_calls
                    ]
",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.ui._screen_compat:[18:79]
==intellicrack.ui._screen_compat:[18:79]
if TYPE_CHECKING:
    from collections.abc import Callable
    from typing import Any

    from PyQt6.QtWidgets import QApplication, QWidget

_PRIMARY_SCREEN = ""primaryScreen""
_AVAILABLE_GEOMETRY = ""availableGeometry""
_MOVE = ""move""


def _resolve(obj: object, method_name: str) -> Callable[..., Any]:
    """"""Resolve a method on a Qt object, raising a clear error if absent.

    Args:
        obj: The Qt object instance.
        method_name: The camelCase method name to look up.

    Returns:
        The bound method callable.

    Raises:
        AttributeError: If the method does not exist on the object.
    """"""
    if not hasattr(obj, method_name):
        cls_name = type(obj).__name__
        msg = f""{cls_name} has no method '{method_name}'; PyQt6 binding may be incompatible""
        raise AttributeError(msg)
    method: Callable[..., Any] = getattr(obj, method_name)
    return method


def get_screen_geometry(app: QApplication) -> tuple[int, int, int, int] | None:
    """"""Return the primary screen's available area as (x, y, width, height).

    Args:
        app: The QApplication instance.

    Returns:
        Tuple of (x, y, width, height) or None if no screen detected.
    """"""
    screen: object = _resolve(app, _PRIMARY_SCREEN)()
    if screen is None:
        return None
    rect: object = _resolve(screen, _AVAILABLE_GEOMETRY)()
    x: int = _resolve(rect, ""x"")()
    y: int = _resolve(rect, ""y"")()
    w: int = _resolve(rect, ""width"")()
    h: int = _resolve(rect, ""height"")()
    return (x, y, w, h)


def move_widget(widget: QWidget, x: int, y: int) -> None:
    """"""Move a widget to the specified screen coordinates.

    Args:
        widget: The widget to move.
        x: X coordinate in screen pixels.
        y: Y coordinate in screen pixels.
    """"""
    _resolve(widget, _MOVE)(x, y)",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.ui.panels.ghidra_panel:[162:193]
==intellicrack.ui.panels.radare2_panel:[183:214]
        return tabs

    def _create_data_tabs(self) -> QTabWidget:
        """"""Create strings, imports, exports, sections, and xrefs tabs.

        Returns:
            Tab widget with data tables.
        """"""
        tabs = QTabWidget()

        self._strings_table = QTableWidget(0, len(_STRING_COLUMNS))
        self._strings_table.setHorizontalHeaderLabels(_STRING_COLUMNS)
        self._strings_table.setSelectionBehavior(QTableWidget.SelectionBehavior.SelectRows)
        self._strings_table.setSelectionMode(QTableWidget.SelectionMode.SingleSelection)
        self._strings_table.horizontalHeader().setSectionResizeMode(QHeaderView.ResizeMode.Stretch)
        tabs.addTab(self._strings_table, ""Strings"")

        self._imports_table = QTableWidget(0, len(_IMPORT_COLUMNS))
        self._imports_table.setHorizontalHeaderLabels(_IMPORT_COLUMNS)
        self._imports_table.setSelectionBehavior(QTableWidget.SelectionBehavior.SelectRows)
        self._imports_table.setSelectionMode(QTableWidget.SelectionMode.SingleSelection)
        self._imports_table.horizontalHeader().setSectionResizeMode(QHeaderView.ResizeMode.Stretch)
        tabs.addTab(self._imports_table, ""Imports"")

        self._exports_table = QTableWidget(0, len(_EXPORT_COLUMNS))
        self._exports_table.setHorizontalHeaderLabels(_EXPORT_COLUMNS)
        self._exports_table.setSelectionBehavior(QTableWidget.SelectionBehavior.SelectRows)
        self._exports_table.setSelectionMode(QTableWidget.SelectionMode.SingleSelection)
        self._exports_table.horizontalHeader().setSectionResizeMode(QHeaderView.ResizeMode.Stretch)
        tabs.addTab(self._exports_table, ""Exports"")
",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.bridges.radare2:[447:464]
==intellicrack.bridges.x64dbg:[671:688]
                    parameters=[
                        ToolParameter(
                            name=""address"",
                            type=""integer"",
                            description=""Target address"",
                            required=True,
                        ),
                        ToolParameter(
                            name=""instruction"",
                            type=""string"",
                            description=""Assembly instruction"",
                            required=True,
                        ),
                    ],
                    returns=""Assembled bytes"",
                ),
                ToolFunction(",,,,,,,,,,,,
pylint,src\intellicrack\ui\resources\__init__.py,1,0,refactor,R0801,duplicate-code,"[duplicate-code] Similar lines in 2 files
==intellicrack.ui.highlighter:[372:389]
==intellicrack.ui.panels.x64dbg_panel:[53:70]
    ""rax"",
    ""rbx"",
    ""rcx"",
    ""rdx"",
    ""rsi"",
    ""rdi"",
    ""rbp"",
    ""rsp"",
    ""rip"",
    ""r8"",
    ""r9"",
    ""r10"",
    ""r11"",
    ""r12"",
    ""r13"",
    ""r14"",
    ""r15"",",,,,,,,,,,,,
