tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
ruff,D:\Intellicrack\src\intellicrack\main.py,223,39,,F821,F821,Undefined name `ProcessManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,230,23,,F821,F821,Undefined name `ProcessManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,243,37,,F821,F821,Undefined name `SplashScreen`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,250,23,,F821,F821,Undefined name `SplashScreen`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,253,49,,F821,F821,Undefined name `ThemeManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,253,69,,F821,F821,Undefined name `IconManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,261,21,,F821,F821,Undefined name `ThemeManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,261,41,,F821,F821,Undefined name `IconManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,266,36,,F821,F821,Undefined name `Orchestrator`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,273,23,,F821,F821,Undefined name `Orchestrator`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,276,45,,F821,F821,Undefined name `SessionManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,276,67,,F821,F821,Undefined name `SessionStore`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,284,20,,F821,F821,Undefined name `SessionManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,285,20,,F821,F821,Undefined name `SessionStore`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,289,37,,F821,F821,Undefined name `ToolRegistry`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,296,23,,F821,F821,Undefined name `ToolRegistry`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,299,41,,F821,F821,Undefined name `CredentialLoader`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,306,23,,F821,F821,Undefined name `CredentialLoader`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,309,33,,F821,F821,Undefined name `ProviderRegistry`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,316,39,,F821,F821,Undefined name `ProviderRegistry`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,320,35,,F821,F821,Undefined name `MainWindow`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,327,23,,F821,F821,Undefined name `MainWindow`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,395,6,,F821,F821,Undefined name `SplashScreen`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,439,15,,F821,F821,Undefined name `ProviderRegistry`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,440,18,,F821,F821,Undefined name `CredentialLoader`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,462,27,,F821,F821,Undefined name `ProviderName`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,462,46,,F821,F821,Undefined name `LLMProviderBase`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,463,21,,F821,F821,Undefined name `ProviderName`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,463,40,,F821,F821,Undefined name `LLMProviderBase`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,476,40,,F821,F821,Undefined name `ProviderName`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,476,75,,F821,F821,Undefined name `LLMProviderBase`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,526,74,,F821,F821,Undefined name `ProcessManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,549,82,,F821,F821,Undefined name `ProcessManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,641,24,,F821,F821,Undefined name `ProviderRegistry`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,667,24,,F821,F821,Undefined name `ProviderRegistry`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,706,13,,F821,F821,Undefined name `SplashScreen`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,707,22,,F821,F821,Undefined name `ProcessManager`,,,,,,,,,,,,
ruff,D:\Intellicrack\src\intellicrack\main.py,771,38,,F821,F821,Undefined name `ModelDiscovery`,,,,,,,,,,,,
