tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
ty,src\intellicrack\main.py,223,39,,unresolved-reference,unresolved-reference,Name `ProcessManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,230,23,,unresolved-reference,unresolved-reference,Name `ProcessManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,243,37,,unresolved-reference,unresolved-reference,Name `SplashScreen` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,250,23,,unresolved-reference,unresolved-reference,Name `SplashScreen` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,253,49,,unresolved-reference,unresolved-reference,Name `ThemeManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,253,69,,unresolved-reference,unresolved-reference,Name `IconManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,261,21,,unresolved-reference,unresolved-reference,Name `ThemeManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,261,41,,unresolved-reference,unresolved-reference,Name `IconManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,266,36,,unresolved-reference,unresolved-reference,Name `Orchestrator` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,273,23,,unresolved-reference,unresolved-reference,Name `Orchestrator` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,276,45,,unresolved-reference,unresolved-reference,Name `SessionManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,276,67,,unresolved-reference,unresolved-reference,Name `SessionStore` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,284,20,,unresolved-reference,unresolved-reference,Name `SessionManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,285,20,,unresolved-reference,unresolved-reference,Name `SessionStore` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,289,37,,unresolved-reference,unresolved-reference,Name `ToolRegistry` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,296,23,,unresolved-reference,unresolved-reference,Name `ToolRegistry` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,299,41,,unresolved-reference,unresolved-reference,Name `CredentialLoader` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,306,23,,unresolved-reference,unresolved-reference,Name `CredentialLoader` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,309,33,,unresolved-reference,unresolved-reference,Name `ProviderRegistry` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,316,39,,unresolved-reference,unresolved-reference,Name `ProviderRegistry` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,320,35,,unresolved-reference,unresolved-reference,Name `MainWindow` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,327,23,,unresolved-reference,unresolved-reference,Name `MainWindow` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,395,6,,unresolved-reference,unresolved-reference,Name `SplashScreen` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,439,15,,unresolved-reference,unresolved-reference,Name `ProviderRegistry` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,440,18,,unresolved-reference,unresolved-reference,Name `CredentialLoader` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,462,27,,unresolved-reference,unresolved-reference,Name `ProviderName` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,462,46,,unresolved-reference,unresolved-reference,Name `LLMProviderBase` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,463,21,,unresolved-reference,unresolved-reference,Name `ProviderName` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,463,40,,unresolved-reference,unresolved-reference,Name `LLMProviderBase` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,476,40,,unresolved-reference,unresolved-reference,Name `ProviderName` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,476,75,,unresolved-reference,unresolved-reference,Name `LLMProviderBase` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,526,74,,unresolved-reference,unresolved-reference,Name `ProcessManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,549,82,,unresolved-reference,unresolved-reference,Name `ProcessManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,641,24,,unresolved-reference,unresolved-reference,Name `ProviderRegistry` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,667,24,,unresolved-reference,unresolved-reference,Name `ProviderRegistry` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,706,13,,unresolved-reference,unresolved-reference,Name `SplashScreen` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,707,22,,unresolved-reference,unresolved-reference,Name `ProcessManager` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\main.py,771,38,,unresolved-reference,unresolved-reference,Name `ModelDiscovery` used when not defined,,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,936,10,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,955,10,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,991,10,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,1041,10,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,1694,71,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,1762,10,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,1828,24,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a parameter annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,1830,18,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a parameter annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,1917,60,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,1970,60,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,2228,69,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,2272,72,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,2440,60,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,2508,60,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,2578,69,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,2643,10,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,3086,58,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,3335,45,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,3417,57,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,3455,56,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,3511,10,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
ty,src\intellicrack\bridges\process.py,3619,48,,invalid-type-form,invalid-type-form,"Invalid subscript of object of type `def list(self, filter_name: str | None = None) -> CoroutineType[Any, Any, Unknown]` in a return type annotation",,,,,,,,,,,,
