tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
typos,.\src\templates\elf.rs,14,29,warning,,,`rela` should be `real`,,,,,,,,,,,rela,real
typos,.\src\templates\elf.rs,15,29,warning,,,`rela` should be `real`,,,,,,,,,,,rela,real
typos,.\src\templates\elf.rs,390,10,warning,,,`rela` should be `real`,,,,,,,,,,,rela,real
typos,.\src\templates\elf.rs,392,22,warning,,,`Rela` should be `Real`,,,,,,,,,,,Rela,Real
typos,.\src\templates\elf.rs,415,10,warning,,,`rela` should be `real`,,,,,,,,,,,rela,real
typos,.\src\templates\elf.rs,417,22,warning,,,`Rela` should be `Real`,,,,,,,,,,,Rela,Real
typos,.\src\templates\elf.rs,777,19,warning,,,`rela` should be `real`,,,,,,,,,,,rela,real
typos,.\src\templates\elf.rs,783,39,warning,,,`Rela` should be `Real`,,,,,,,,,,,Rela,Real
typos,.\src\templates\elf.rs,794,19,warning,,,`rela` should be `real`,,,,,,,,,,,rela,real
typos,.\src\templates\elf.rs,802,39,warning,,,`Rela` should be `Real`,,,,,,,,,,,Rela,Real
typos,.\src\templates\elf.rs,918,20,warning,,,`Rela` should be `Real`,,,,,,,,,,,Rela,Real
typos,.\src\templates\elf.rs,919,20,warning,,,`Rela` should be `Real`,,,,,,,,,,,Rela,Real
