tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
xenon,src\intellicrack\core\license_analyzer.py,1897,,,,,'_detect_algorithms' has rank D (complexity > threshold),,30,D,_detect_algorithms,,,,,,,,
xenon,src\intellicrack\core\license_analyzer.py,1957,,,,,'_detect_key_format' has rank C (complexity > threshold),,20,C,_detect_key_format,,,,,,,,
xenon,src\intellicrack\core\license_analyzer.py,2022,,,,,'_detect_checksum_info' has rank C (complexity > threshold),,20,C,_detect_checksum_info,,,,,,,,
xenon,src\intellicrack\core\license_analyzer.py,1635,,,,,'_update_context_for_instruction' has rank C (complexity > threshold),,20,C,_update_context_for_instruction,,,,,,,,
xenon,src\intellicrack\core\license_analyzer.py,1748,,,,,'_collect_function_candidates' has rank C (complexity > threshold),,20,C,_collect_function_candidates,,,,,,,,
xenon,src\intellicrack\providers\google.py,511,,,,,'_parse_response' has rank C (complexity > threshold),,20,C,_parse_response,,,,,,,,
xenon,src\intellicrack\providers\google.py,242,,,,,'chat' has rank C (complexity > threshold),,20,C,chat,,,,,,,,
xenon,src\intellicrack\providers\google.py,363,,,,,'chat_stream' has rank C (complexity > threshold),,20,C,chat_stream,,,,,,,,
xenon,src\intellicrack\providers\google.py,548,,,,,'_convert_messages_to_provider_format' has rank C (complexity > threshold),,20,C,_convert_messages_to_provider_format,,,,,,,,
xenon,src\intellicrack\providers\huggingface.py,526,,,,,'chat_stream' has rank C (complexity > threshold),,20,C,chat_stream,,,,,,,,
xenon,src\intellicrack\providers\huggingface.py,189,,,,,'list_models' has rank C (complexity > threshold),,20,C,list_models,,,,,,,,
xenon,src\intellicrack\providers\huggingface.py,278,,,,,'_estimate_context_window' has rank C (complexity > threshold),,20,C,_estimate_context_window,,,,,,,,
xenon,src\intellicrack\providers\huggingface.py,649,,,,,'_convert_messages_to_provider_format' has rank C (complexity > threshold),,20,C,_convert_messages_to_provider_format,,,,,,,,
xenon,src\intellicrack\ui\session_manager.py,229,,,,,'_load_sessions' has rank C (complexity > threshold),,20,C,_load_sessions,,,,,,,,
xenon,src\intellicrack\ui\session_manager.py,284,,,,,'_load_sessions_from_disk' has rank C (complexity > threshold),,20,C,_load_sessions_from_disk,,,,,,,,
xenon,src\intellicrack\ui\session_manager.py,546,,,,,'_export_session' has rank C (complexity > threshold),,20,C,_export_session,,,,,,,,
xenon,src\intellicrack\ui\session_manager.py,609,,,,,'_prepare_export_data' has rank C (complexity > threshold),,20,C,_prepare_export_data,,,,,,,,
xenon,src\intellicrack\providers\discovery.py,575,,,,,'filter' has rank C (complexity > threshold),,20,C,filter,,,,,,,,
xenon,src\intellicrack\providers\discovery.py,683,,,,,'get_recommended_model' has rank C (complexity > threshold),,20,C,get_recommended_model,,,,,,,,
xenon,src\intellicrack\providers\discovery.py,484,,,,,'discover_provider' has rank C (complexity > threshold),,20,C,discover_provider,,,,,,,,
xenon,src\intellicrack\providers\openrouter.py,411,,,,,'chat_stream' has rank C (complexity > threshold),,20,C,chat_stream,,,,,,,,
xenon,src\intellicrack\providers\openrouter.py,239,,,,,'chat' has rank C (complexity > threshold),,20,C,chat,,,,,,,,
xenon,src\intellicrack\providers\openrouter.py,513,,,,,'_convert_messages_to_provider_format' has rank C (complexity > threshold),,20,C,_convert_messages_to_provider_format,,,,,,,,
xenon,src\intellicrack\sandbox\qemu.py,766,,,,,'_build_qemu_command' has rank C (complexity > threshold),,20,C,_build_qemu_command,,,,,,,,
xenon,src\intellicrack\sandbox\qemu.py,1559,,,,,'run_binary' has rank C (complexity > threshold),,20,C,run_binary,,,,,,,,
xenon,src\intellicrack\sandbox\qemu.py,1711,,,,,'_parse_network_log' has rank C (complexity > threshold),,20,C,_parse_network_log,,,,,,,,
xenon,src\intellicrack\ui\provider_config.py,448,,,,,'_fetch_models' has rank C (complexity > threshold),,20,C,_fetch_models,,,,,,,,
xenon,src\intellicrack\ui\provider_config.py,495,,,,,'_fetch_anthropic_models' has rank C (complexity > threshold),,20,C,_fetch_anthropic_models,,,,,,,,
xenon,src\intellicrack\ui\provider_config.py,1560,,,,,'_load_settings' has rank C (complexity > threshold),,20,C,_load_settings,,,,,,,,
xenon,src\intellicrack\bridges\binary.py,556,,,,,'_detect_architecture' has rank C (complexity > threshold),,20,C,_detect_architecture,,,,,,,,
xenon,src\intellicrack\bridges\binary.py,667,,,,,'_get_imports_internal' has rank C (complexity > threshold),,20,C,_get_imports_internal,,,,,,,,
xenon,src\intellicrack\bridges\installer.py,231,,,,,'find_tool' has rank C (complexity > threshold),,20,C,find_tool,,,,,,,,
xenon,src\intellicrack\bridges\installer.py,509,,,,,'_get_latest_release_url' has rank C (complexity > threshold),,20,C,_get_latest_release_url,,,,,,,,
xenon,src\intellicrack\bridges\schemas.py,583,,,,,'get_schema_for_provider' has rank C (complexity > threshold),,20,C,get_schema_for_provider,,,,,,,,
xenon,src\intellicrack\bridges\schemas.py,309,,,,,'validate_tool_parameter' has rank C (complexity > threshold),,20,C,validate_tool_parameter,,,,,,,,
xenon,src\intellicrack\bridges\x64dbg.py,252,,,,,'_read_unicode_string_from_params' has rank C (complexity > threshold),,20,C,_read_unicode_string_from_params,,,,,,,,
xenon,src\intellicrack\bridges\x64dbg.py,1619,,,,,'get_memory_regions' has rank C (complexity > threshold),,20,C,get_memory_regions,,,,,,,,
xenon,src\intellicrack\core\orchestrator.py,591,,,,,'_call_llm' has rank C (complexity > threshold),,20,C,_call_llm,,,,,,,,
xenon,src\intellicrack\core\orchestrator.py,371,,,,,'_run_agent_loop' has rank C (complexity > threshold),,20,C,_run_agent_loop,,,,,,,,
xenon,src\intellicrack\providers\grok.py,369,,,,,'chat_stream' has rank C (complexity > threshold),,20,C,chat_stream,,,,,,,,
xenon,src\intellicrack\providers\grok.py,449,,,,,'_convert_messages_to_provider_format' has rank C (complexity > threshold),,20,C,_convert_messages_to_provider_format,,,,,,,,
